epoch,step,val_loss
0,627,615.2857666015625
1,1255,615.284912109375
2,1883,615.2847900390625
3,2511,615.2847290039062
4,3139,615.2847290039062
5,3767,615.2847290039062
6,4395,615.2847290039062
7,5023,615.28466796875
8,5651,615.28466796875
9,6279,615.28466796875
10,6907,615.2847290039062
11,7535,615.2847290039062
12,8163,615.2847290039062
13,8791,615.2847290039062
14,9419,615.2847290039062
15,10047,615.2847290039062
16,10675,615.2847290039062
17,11303,615.2847290039062
18,11931,615.2847290039062
19,12559,615.2847290039062
20,13187,615.2847290039062
21,13815,615.2847290039062
22,14443,615.2847290039062
23,15071,615.2847290039062
24,15699,615.2847290039062
25,16327,615.2847290039062
26,16955,615.2847290039062
27,17583,615.2847290039062
28,18211,615.2847290039062
29,18839,615.2847290039062
30,19467,615.2847290039062
31,20095,615.2847290039062
32,20723,615.2847290039062
33,21351,615.2847290039062
34,21979,615.2847290039062
35,22607,615.2847290039062
36,23235,615.2847290039062
37,23863,615.2847290039062
38,24491,615.2847290039062
39,25119,615.2847290039062
40,25747,615.2847290039062
41,26375,615.2847290039062
42,27003,615.2847290039062
43,27631,615.2847290039062
44,28259,615.2847290039062
45,28887,615.2847290039062
46,29515,615.2847290039062
47,30143,615.2847290039062
48,30771,615.2847290039062
49,31399,615.2847290039062
50,32027,615.2847290039062
51,32655,615.2847290039062
52,33283,615.2847290039062
53,33911,615.2847290039062
54,34539,615.2847290039062
55,35167,615.2847290039062
56,35795,615.2847290039062
57,36423,615.2847290039062
58,37051,615.2847290039062
59,37679,615.2847290039062
60,38307,615.2847290039062
61,38935,615.2847290039062
62,39563,615.2847290039062
63,40191,615.2847290039062
64,40819,615.2847290039062
